number,llb,lub,value
0,1500000,4500000,-0.1951842140070087
1,1000000,3500000,-0.48011710458538276
2,3000000,4000000,0.39378203715011234
3,1000000,2000000,-0.5577532857271296
4,5500000,6500000,-0.26705383457246823
5,1500000,4000000,-0.2113279719843825
6,1500000,4000000,-0.2113279719843825
7,1500000,3500000,-0.5216452663049247
8,2500000,4500000,0.08128896941386632
9,5000000,7500000,-0.24386453353589954
10,7000000,7500000,0.3874693752706034
11,6500000,7000000,-0.7649168723368689
12,3500000,4000000,0.4492099532583502
13,3500000,4500000,0.17061341211788705
14,3500000,5000000,-0.3280646601495048
15,3000000,3500000,0.08806142201069916
16,4500000,6000000,-0.851865115537583
17,2500000,3500000,-0.2110150931675513
18,4500000,5000000,-1.5292285877957612
19,2500000,4000000,0.11921158100692916
20,4000000,5000000,-0.8136247245683391
21,7000000,7500000,0.3874693752706034
22,6000000,6500000,-0.538568136010692
23,3500000,4000000,0.4492099532583502
24,3500000,4500000,0.17061341211788705
25,3000000,3500000,0.08806142201069916
26,4000000,5000000,-0.8136247245683391
27,3000000,4500000,0.2673906833312623
28,4500000,5000000,-1.5292285877957612
29,2000000,5000000,-0.24508183458601251
30,5000000,6000000,-0.45979088083185377
31,4000000,4500000,-0.24325936311903096
32,3500000,4000000,0.4492099532583502
33,3500000,4000000,0.4492099532583502
34,3500000,4000000,0.4492099532583502
35,4000000,4500000,-0.24325936311903096
36,3500000,4500000,0.17061341211788705
37,2000000,2500000,-0.7167874355196043
38,5000000,6000000,-0.45979088083185377
39,2500000,5500000,-0.25841500086223157
40,3000000,5000000,-0.060102423201701824
41,3500000,4000000,0.4492099532583502
42,4000000,4500000,-0.24325936311903096
43,3000000,3500000,0.08806142201069916
44,4500000,5500000,-1.158495053328279
45,3500000,4000000,0.4492099532583502
46,2000000,2500000,-0.7167874355196043
47,3500000,4500000,0.17061341211788705
48,4000000,4500000,-0.24325936311903096
49,2500000,3000000,-0.5222699908822698
50,3000000,4000000,0.39378203715011234
51,3500000,4000000,0.4492099532583502
52,3500000,4000000,0.4492099532583502
53,4000000,4500000,-0.24325936311903096
54,4500000,5000000,-1.5292285877957612
55,3000000,4000000,0.39378203715011234
56,3500000,4000000,0.4492099532583502
57,3000000,5000000,-0.060102423201701824
58,4500000,5000000,-1.5292285877957612
59,1000000,2000000,-0.5577532857271296
60,4000000,6500000,-0.6916287335122474
61,3500000,4000000,0.4492099532583502
62,3500000,4000000,0.4492099532583502
63,3500000,4000000,0.4492099532583502
64,2500000,3000000,-0.5222699908822698
65,3000000,3500000,0.08806142201069916
66,3500000,4000000,0.4492099532583502
67,4000000,5000000,-0.8136247245683391
68,4000000,4500000,-0.24325936311903096
69,3000000,3500000,0.08806142201069916
70,3500000,4500000,0.17061341211788705
71,3500000,4000000,0.4492099532583502
72,3000000,3500000,0.08806142201069916
73,3500000,4000000,0.4492099532583502
74,4000000,4500000,-0.24325936311903096
75,2500000,3000000,-0.5222699908822698
76,4000000,5500000,-0.7980024982546119
77,3500000,4000000,0.4492099532583502
78,4500000,5500000,-1.158495053328279
79,3000000,3500000,0.08806142201069916
80,3500000,4000000,0.4492099532583502
81,3500000,4000000,0.4492099532583502
82,3500000,4000000,0.4492099532583502
83,4000000,4500000,-0.24325936311903096
84,3000000,3500000,0.08806142201069916
85,3500000,4000000,0.4492099532583502
86,4000000,4500000,-0.24325936311903096
87,3000000,4000000,0.39378203715011234
88,3500000,4000000,0.4492099532583502
89,4000000,4500000,-0.24325936311903096
90,3000000,4000000,0.39378203715011234
91,3500000,4000000,0.4492099532583502
92,3500000,4000000,0.4492099532583502
93,6500000,7000000,-0.7649168723368689
94,3500000,4000000,0.4492099532583502
95,4000000,4500000,-0.24325936311903096
96,3500000,6000000,-0.2861923617595272
97,3000000,3500000,0.08806142201069916
98,2500000,3000000,-0.5222699908822698
99,4000000,4500000,-0.24325936311903096
100,3000000,3500000,0.08806142201069916
101,3500000,4000000,0.4492099532583502
102,3500000,4000000,0.4492099532583502
103,3500000,4000000,0.4492099532583502
104,4000000,4500000,-0.24325936311903096
105,3500000,4000000,0.4492099532583502
106,3000000,3500000,0.08806142201069916
107,3500000,4000000,0.4492099532583502
108,4000000,4500000,-0.24325936311903096
109,3500000,4000000,0.4492099532583502
110,3000000,4000000,0.39378203715011234
111,3500000,4000000,0.4492099532583502
112,4000000,4500000,-0.24325936311903096
113,3500000,4000000,0.4492099532583502
114,3500000,4000000,0.4492099532583502
115,3000000,3500000,0.08806142201069916
116,3500000,4000000,0.4492099532583502
117,3000000,3500000,0.08806142201069916
118,4000000,4500000,-0.24325936311903096
119,4500000,5000000,-1.5292285877957612
120,3500000,4500000,0.17061341211788705
121,3500000,4000000,0.4492099532583502
122,3500000,4000000,0.4492099532583502
123,4000000,4500000,-0.24325936311903096
124,3500000,4000000,0.4492099532583502
125,3000000,3500000,0.08806142201069916
126,3500000,4000000,0.4492099532583502
127,4000000,4500000,-0.24325936311903096
128,3000000,3500000,0.08806142201069916
129,3500000,4000000,0.4492099532583502
130,3000000,3500000,0.08806142201069916
131,3500000,4000000,0.4492099532583502
132,3500000,5000000,-0.3280646601495048
133,3500000,4000000,0.4492099532583502
134,4000000,4500000,-0.24325936311903096
135,3500000,4000000,0.4492099532583502
136,5500000,7500000,-0.12475468465680611
137,3500000,4000000,0.4492099532583502
138,4000000,4500000,-0.24325936311903096
139,3000000,3500000,0.08806142201069916
140,3500000,4000000,0.4492099532583502
141,3500000,4000000,0.4492099532583502
142,3500000,4000000,0.4492099532583502
143,3500000,4000000,0.4492099532583502
144,3500000,4000000,0.4492099532583502
145,4000000,6500000,-0.6916287335122474
146,3500000,4000000,0.4492099532583502
147,3000000,3500000,0.08806142201069916
148,3000000,3500000,0.08806142201069916
149,4000000,4500000,-0.24325936311903096
150,3500000,6500000,-0.2601593866009201
151,3500000,4000000,0.4492099532583502
152,3500000,4000000,0.4492099532583502
153,3500000,4000000,0.4492099532583502
154,4000000,4500000,-0.24325936311903096
155,3500000,4000000,0.4492099532583502
156,3000000,3500000,0.08806142201069916
157,3500000,4000000,0.4492099532583502
158,3500000,4000000,0.4492099532583502
159,4000000,4500000,-0.24325936311903096
160,3000000,3500000,0.08806142201069916
161,3500000,4000000,0.4492099532583502
162,3500000,4000000,0.4492099532583502
163,3500000,4000000,0.4492099532583502
164,3500000,4000000,0.4492099532583502
165,3500000,4000000,0.4492099532583502
166,3500000,4000000,0.4492099532583502
167,4000000,4500000,-0.24325936311903096
168,3000000,3500000,0.08806142201069916
169,3500000,4000000,0.4492099532583502
170,4000000,4500000,-0.24325936311903096
171,3500000,4000000,0.4492099532583502
172,3500000,4000000,0.4492099532583502
173,3500000,4000000,0.4492099532583502
174,3500000,4000000,0.4492099532583502
175,3500000,4000000,0.4492099532583502
176,3000000,3500000,0.08806142201069916
177,3500000,4000000,0.4492099532583502
178,3500000,4000000,0.4492099532583502
179,4000000,4500000,-0.24325936311903096
180,3000000,3500000,0.08806142201069916
181,3500000,4000000,0.4492099532583502
182,3500000,4000000,0.4492099532583502
183,3500000,4000000,0.4492099532583502
184,3500000,4000000,0.4492099532583502
185,3500000,4000000,0.4492099532583502
186,4000000,4500000,-0.24325936311903096
187,3500000,4000000,0.4492099532583502
188,3500000,4000000,0.4492099532583502
189,3000000,3500000,0.08806142201069916
190,3500000,4000000,0.4492099532583502
191,3500000,4000000,0.4492099532583502
192,3500000,4000000,0.4492099532583502
193,3500000,4000000,0.4492099532583502
194,3500000,4000000,0.4492099532583502
195,3500000,4000000,0.4492099532583502
196,4000000,4500000,-0.24325936311903096
197,3500000,5000000,-0.3280646601495048
198,3000000,3500000,0.08806142201069916
199,3500000,4000000,0.4492099532583502
200,4000000,4500000,-0.24325936311903096
201,3500000,4000000,0.4492099532583502
202,3500000,4000000,0.4492099532583502
203,3500000,4000000,0.4492099532583502
204,3500000,4000000,0.4492099532583502
205,3500000,4000000,0.4492099532583502
206,3500000,4000000,0.4492099532583502
207,3000000,3500000,0.08806142201069916
208,3500000,4000000,0.4492099532583502
209,3500000,4000000,0.4492099532583502
210,4000000,4500000,-0.24325936311903096
211,3500000,4000000,0.4492099532583502
212,3500000,4000000,0.4492099532583502
213,3500000,4000000,0.4492099532583502
214,3500000,4000000,0.4492099532583502
215,1500000,2000000,-0.9379808076536513
216,3500000,4000000,0.4492099532583502
217,3500000,4000000,0.4492099532583502
218,3500000,4000000,0.4492099532583502
219,3000000,3500000,0.08806142201069916
220,3500000,4000000,0.4492099532583502
221,3500000,4000000,0.4492099532583502
222,3500000,4000000,0.4492099532583502
223,3500000,4000000,0.4492099532583502
224,3500000,4000000,0.4492099532583502
225,3500000,4000000,0.4492099532583502
226,1000000,1500000,-0.39483164669444476
227,4000000,4500000,-0.24325936311903096
228,3500000,4000000,0.4492099532583502
229,3000000,3500000,0.08806142201069916
230,3500000,4000000,0.4492099532583502
231,3500000,4000000,0.4492099532583502
232,3500000,4000000,0.4492099532583502
233,3500000,4000000,0.4492099532583502
234,3500000,4000000,0.4492099532583502
235,3500000,4000000,0.4492099532583502
236,3500000,4000000,0.4492099532583502
237,3500000,4000000,0.4492099532583502
238,3500000,4000000,0.4492099532583502
239,3500000,4000000,0.4492099532583502
240,3000000,5000000,-0.060102423201701824
241,3500000,4000000,0.4492099532583502
242,3500000,4000000,0.4492099532583502
243,3500000,4000000,0.4492099532583502
244,3500000,4000000,0.4492099532583502
245,3500000,4000000,0.4492099532583502
246,4000000,4500000,-0.24325936311903096
247,3500000,4000000,0.4492099532583502
248,3500000,4000000,0.4492099532583502
249,3500000,4000000,0.4492099532583502
250,6500000,7000000,-0.7649168723368689
251,3500000,4000000,0.4492099532583502
252,4000000,4500000,-0.24325936311903096
253,3000000,3500000,0.08806142201069916
254,3500000,4000000,0.4492099532583502
255,3500000,4000000,0.4492099532583502
256,3500000,4000000,0.4492099532583502
257,3500000,4000000,0.4492099532583502
258,4000000,4500000,-0.24325936311903096
259,3500000,4000000,0.4492099532583502
260,3500000,6500000,-0.2601593866009201
261,3500000,4000000,0.4492099532583502
262,3000000,3500000,0.08806142201069916
263,4000000,4500000,-0.24325936311903096
264,3500000,4000000,0.4492099532583502
265,3500000,4000000,0.4492099532583502
266,3500000,4000000,0.4492099532583502
267,3500000,4000000,0.4492099532583502
268,3000000,3500000,0.08806142201069916
269,4000000,4500000,-0.24325936311903096
270,3500000,4000000,0.4492099532583502
271,3000000,3500000,0.08806142201069916
272,3500000,4000000,0.4492099532583502
273,3500000,4000000,0.4492099532583502
274,3500000,4000000,0.4492099532583502
275,3500000,4000000,0.4492099532583502
276,3500000,4000000,0.4492099532583502
277,4000000,4500000,-0.24325936311903096
278,3500000,4000000,0.4492099532583502
279,3500000,4000000,0.4492099532583502
280,3000000,3500000,0.08806142201069916
281,6000000,6500000,-0.538568136010692
282,3500000,4000000,0.4492099532583502
283,4000000,4500000,-0.24325936311903096
284,3000000,3500000,0.08806142201069916
285,3500000,4000000,0.4492099532583502
286,3500000,4000000,0.4492099532583502
287,3500000,4000000,0.4492099532583502
288,3500000,4500000,0.17061341211788705
289,3500000,4000000,0.4492099532583502
290,3500000,4000000,0.4492099532583502
291,4000000,5500000,-0.7980024982546119
292,3500000,4000000,0.4492099532583502
293,3000000,3500000,0.08806142201069916
294,3500000,4000000,0.4492099532583502
295,3500000,4000000,0.4492099532583502
296,3500000,5500000,-0.3819326821275928
297,3500000,4000000,0.4492099532583502
298,3000000,3500000,0.08806142201069916
299,4000000,4500000,-0.24325936311903096
300,2000000,2500000,-0.7167874355196043
301,3500000,4000000,0.4492099532583502
302,3500000,6000000,-0.2861923617595272
303,4000000,4500000,-0.24325936311903096
304,3500000,4000000,0.4492099532583502
305,3500000,4000000,0.4492099532583502
306,3500000,4000000,0.4492099532583502
307,3500000,4000000,0.4492099532583502
308,3000000,3500000,0.08806142201069916
309,3500000,4000000,0.4492099532583502
310,4000000,4500000,-0.24325936311903096
311,3500000,4000000,0.4492099532583502
312,3500000,4000000,0.4492099532583502
313,3000000,3500000,0.08806142201069916
314,3500000,4000000,0.4492099532583502
315,3500000,4000000,0.4492099532583502
316,4000000,5500000,-0.7980024982546119
317,3500000,4000000,0.4492099532583502
318,3500000,4000000,0.4492099532583502
319,3000000,3500000,0.08806142201069916
320,3500000,4000000,0.4492099532583502
321,3500000,4000000,0.4492099532583502
322,4000000,4500000,-0.24325936311903096
323,3500000,4000000,0.4492099532583502
324,3500000,4000000,0.4492099532583502
325,3500000,4000000,0.4492099532583502
326,3500000,4000000,0.4492099532583502
327,3000000,3500000,0.08806142201069916
328,3500000,4000000,0.4492099532583502
329,3500000,4500000,0.17061341211788705
330,4000000,4500000,-0.24325936311903096
331,3000000,3500000,0.08806142201069916
332,5000000,5500000,-0.834453876959427
333,3500000,4000000,0.4492099532583502
334,3500000,4000000,0.4492099532583502
335,3500000,4000000,0.4492099532583502
336,3500000,4000000,0.4492099532583502
337,3500000,4000000,0.4492099532583502
338,3500000,4000000,0.4492099532583502
339,3000000,3500000,0.08806142201069916
340,4000000,4500000,-0.24325936311903096
341,3500000,4000000,0.4492099532583502
342,4000000,4500000,-0.24325936311903096
343,3500000,4000000,0.4492099532583502
344,7000000,7500000,0.3874693752706034
345,3500000,4000000,0.4492099532583502
346,3500000,4000000,0.4492099532583502
347,3500000,4000000,0.4492099532583502
348,3500000,4000000,0.4492099532583502
349,4000000,4500000,-0.24325936311903096
350,3000000,3500000,0.08806142201069916
351,3500000,4000000,0.4492099532583502
352,3500000,4000000,0.4492099532583502
353,3500000,4000000,0.4492099532583502
354,3000000,3500000,0.08806142201069916
355,3500000,4000000,0.4492099532583502
356,3500000,5500000,-0.3819326821275928
357,3500000,4500000,0.17061341211788705
358,3500000,4000000,0.4492099532583502
359,4000000,4500000,-0.24325936311903096
360,3000000,3500000,0.08806142201069916
361,3500000,4000000,0.4492099532583502
362,3500000,4000000,0.4492099532583502
363,3500000,4000000,0.4492099532583502
364,3000000,3500000,0.08806142201069916
365,3500000,4000000,0.4492099532583502
366,3500000,4000000,0.4492099532583502
367,4000000,4500000,-0.24325936311903096
368,3500000,4000000,0.4492099532583502
369,3500000,4000000,0.4492099532583502
370,4000000,4500000,-0.24325936311903096
371,3500000,4000000,0.4492099532583502
372,2500000,3000000,-0.5222699908822698
373,3000000,3500000,0.08806142201069916
374,3500000,4000000,0.4492099532583502
375,4000000,4500000,-0.24325936311903096
376,3500000,4000000,0.4492099532583502
377,5500000,6000000,-0.18579653761062442
378,3500000,4000000,0.4492099532583502
379,3500000,4000000,0.4492099532583502
380,3000000,3500000,0.08806142201069916
381,3500000,4000000,0.4492099532583502
382,3500000,4000000,0.4492099532583502
383,3500000,4000000,0.4492099532583502
384,3500000,4500000,0.17061341211788705
385,4000000,4500000,-0.24325936311903096
386,3500000,4000000,0.4492099532583502
387,3000000,3500000,0.08806142201069916
388,3500000,4000000,0.4492099532583502
389,3500000,4000000,0.4492099532583502
390,3500000,4000000,0.4492099532583502
391,3500000,4000000,0.4492099532583502
392,3000000,4500000,0.2673906833312623
393,4000000,4500000,-0.24325936311903096
394,3500000,4000000,0.4492099532583502
395,3500000,4000000,0.4492099532583502
396,3500000,4000000,0.4492099532583502
397,4500000,5000000,-1.5292285877957612
398,3500000,4000000,0.4492099532583502
399,4000000,4500000,-0.24325936311903096
400,3000000,5500000,-0.1079364228775094
401,3500000,4000000,0.4492099532583502
402,3500000,4000000,0.4492099532583502
403,3500000,4000000,0.4492099532583502
404,4000000,4500000,-0.24325936311903096
405,3500000,4000000,0.4492099532583502
406,3500000,4000000,0.4492099532583502
407,3500000,4000000,0.4492099532583502
408,3000000,3500000,0.08806142201069916
409,3500000,4000000,0.4492099532583502
410,3500000,4000000,0.4492099532583502
411,3500000,4000000,0.4492099532583502
412,3000000,3500000,0.08806142201069916
413,4000000,4500000,-0.24325936311903096
414,3500000,4000000,0.4492099532583502
415,3500000,4000000,0.4492099532583502
416,3500000,4000000,0.4492099532583502
417,3000000,3500000,0.08806142201069916
418,3500000,4000000,0.4492099532583502
419,3500000,4000000,0.4492099532583502
420,3500000,4000000,0.4492099532583502
421,4000000,5000000,-0.8136247245683391
422,3500000,4000000,0.4492099532583502
423,3500000,4000000,0.4492099532583502
424,4000000,6000000,-0.6734705935526302
425,3500000,4000000,0.4492099532583502
426,3500000,4000000,0.4492099532583502
427,3500000,4000000,0.4492099532583502
428,3000000,3500000,0.08806142201069916
429,3500000,4000000,0.4492099532583502
430,4000000,7000000,-0.6488043902624544
431,3500000,4000000,0.4492099532583502
432,3500000,4000000,0.4492099532583502
433,3500000,4000000,0.4492099532583502
434,4000000,4500000,-0.24325936311903096
435,3000000,3500000,0.08806142201069916
436,3500000,4000000,0.4492099532583502
437,3500000,4000000,0.4492099532583502
438,3500000,4000000,0.4492099532583502
439,3500000,4000000,0.4492099532583502
440,3000000,3500000,0.08806142201069916
441,3500000,4000000,0.4492099532583502
442,3500000,4000000,0.4492099532583502
443,4000000,4500000,-0.24325936311903096
444,3500000,4000000,0.4492099532583502
445,3500000,4000000,0.4492099532583502
446,3500000,4000000,0.4492099532583502
447,3500000,4000000,0.4492099532583502
448,3000000,3500000,0.08806142201069916
449,3500000,6000000,-0.2861923617595272
450,3500000,4000000,0.4492099532583502
451,1000000,1500000,-0.39483164669444476
452,4000000,5000000,-0.8136247245683391
453,3500000,4000000,0.4492099532583502
454,3500000,4000000,0.4492099532583502
455,3000000,3500000,0.08806142201069916
456,3500000,4000000,0.4492099532583502
457,3500000,4000000,0.4492099532583502
458,4000000,4500000,-0.24325936311903096
459,3000000,3500000,0.08806142201069916
460,3500000,4000000,0.4492099532583502
461,3500000,4000000,0.4492099532583502
462,3500000,4000000,0.4492099532583502
463,4000000,4500000,-0.24325936311903096
464,3500000,4000000,0.4492099532583502
465,3500000,4000000,0.4492099532583502
466,3000000,4500000,0.2673906833312623
467,3500000,4000000,0.4492099532583502
468,3500000,4000000,0.4492099532583502
469,3000000,3500000,0.08806142201069916
470,4000000,4500000,-0.24325936311903096
471,3500000,4000000,0.4492099532583502
472,3500000,4000000,0.4492099532583502
473,3500000,4000000,0.4492099532583502
474,3500000,4000000,0.4492099532583502
475,4000000,4500000,-0.24325936311903096
476,1500000,2000000,-0.9379808076536513
477,3500000,4000000,0.4492099532583502
478,3500000,4000000,0.4492099532583502
479,3000000,3500000,0.08806142201069916
480,3500000,4000000,0.4492099532583502
481,3500000,4000000,0.4492099532583502
482,2000000,2500000,-0.7167874355196043
483,6000000,6500000,-0.538568136010692
484,3500000,4500000,0.17061341211788705
485,3500000,4000000,0.4492099532583502
486,3000000,6000000,-0.030986916064056954
487,3500000,4000000,0.4492099532583502
488,4000000,4500000,-0.24325936311903096
489,3500000,4000000,0.4492099532583502
490,3500000,4000000,0.4492099532583502
491,3500000,4000000,0.4492099532583502
492,3500000,4000000,0.4492099532583502
493,3500000,4000000,0.4492099532583502
494,3000000,3500000,0.08806142201069916
495,4000000,4500000,-0.24325936311903096
496,3500000,4000000,0.4492099532583502
497,3500000,4000000,0.4492099532583502
498,3500000,4000000,0.4492099532583502
499,4000000,4500000,-0.24325936311903096
